SITE_SOURCE_ID;SITE_NAME;WEB_IMAGES;IMAGE_COUNT;SOURCE_PDFS
drive-8f8c2fb20de2;Gua Kelilawar;;0;Painted Sites, Sacred Sites_NHT.pdf
drive-99474f361673;Gua Keliobar;;0;NorthMaluku_PleistoceneHolocene_Caves.pdf
drive-5d0926358789;Gua Kenyato;/iiif/manifests/sites/drive-5d0926358789.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-c50e9b6a667d;Gua Kepah C77;/iiif/manifests/sites/drive-c50e9b6a667d.json;3;WajakSkulls.pdf
drive-be4893093746;Gua Ketuk;;0;Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
drive-45c75d7b5ebe;Gua Kidang Java Radiocarbon;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-cd4a7d946ba4;Gua Kokwari;;0;NorthMaluku_PleistoceneHolocene_Caves.pdf
drive-58e5f2415a83;Gua Kria;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-9b3257fc0809;Gua Kurang Tahu Sungai PEGUNUNGAN KARST;/iiif/manifests/sites/drive-9b3257fc0809.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-ba752e287a10;Gua Kurang Tahu. Gambar;/iiif/manifests/sites/drive-ba752e287a10.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-e2a9a1847a94;Gua La Kalombu;;0;Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
drive-b70092a07cc6;Gua Lakan Taghu;;0;StencilsBoatsMunaIsland.pdf | archaeologysulawesi.pdf
drive-e3023c50ce71;Gua Lang Kamnan;;0;WajakMan.pdf
drive-728ad0025387;Gua Las;/iiif/manifests/sites/drive-728ad0025387.json;2;Borneo_Menyingkap_gua_prasejarah.pdf
drive-22939c594a6f;Gua Lawa Java Radiocarbon;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-07c479fce15a;Gua Lawa NA;;0;
drive-dbd5e8ec22b3;Gua Leang Bangkai;/iiif/manifests/sites/drive-dbd5e8ec22b3.json;3;BukitBangkai_Mesolithic.pdf
drive-630869d46cc0;Gua Leo I;/iiif/manifests/sites/drive-630869d46cc0.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-6e3a14281be6;Gua Letiara C Deposit;;0;Maluku_Babar_Wetang.pdf
