IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
;Struktur Menetap;Situs megalitik / Menhir / Dolmen / Sarkofagus / Waruga;;;;;
;Struktur Menetap;Situs seni cadas / Petroglyph / Pictograph / Cap tangan;;;;;
