IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
398;Production;Métal;Réduction;Argent;;http://ark.frantiq.fr/ark:/26678/pcrtcWoSlbWLE0;13338;http://vocab.getty.edu/page/aat/300011029
399;Production;Métal;Réduction;Argent;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
400;Production;Métal;Réduction;Argent;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
401;Production;Métal;Réduction;Bronze;;http://ark.frantiq.fr/ark:/26678/pcrtjzKlry0LZi;13652;http://vocab.getty.edu/page/aat/300010957
402;Production;Métal;Réduction;Bronze;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
403;Production;Métal;Réduction;Bronze;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
404;Production;Métal;Réduction;Or;;http://ark.frantiq.fr/ark:/26678/pcrtuihSl3eSnW;15995;http://vocab.getty.edu/page/aat/300011021
405;Production;Métal;Réduction;Or;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
406;Production;Métal;Réduction;Or;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
407;Production;Métal;Réduction;Cuivre;;http://ark.frantiq.fr/ark:/26678/pcrt16pnvNar4g;14200;http://vocab.getty.edu/page/aat/300011020
408;Production;Métal;Réduction;Cuivre;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
409;Production;Métal;Réduction;Cuivre;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
410;Production;Métal;Réduction;Autres;;;;
411;Production;Métal;Réduction;Autres;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
412;Production;Métal;Réduction;Autres;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
413;Production;Métal;Forge;;;http://ark.frantiq.fr/ark:/26678/pcrt3uOj7GEVaE;14795;http://vocab.getty.edu/page/aat/300007734
414;Production;Métal;Forge;Fer;;http://ark.frantiq.fr/ark:/26678/pcrtJWWucnutA0;14726;http://vocab.getty.edu/page/aat/300011002
415;Production;Métal;Forge;Fer;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
416;Production;Métal;Forge;Fer;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
417;Production;Métal;Forge;Argent;;http://ark.frantiq.fr/ark:/26678/pcrtcWoSlbWLE0;13338;http://vocab.getty.edu/page/aat/300011029
