path,name,id,target_id,mime_type,resource_key,is_folder,is_pdf,size,modified_time,web_view_link
3-Figure1-1.png,3-Figure1-1.png,17g2ZZf1-VYo1fhknQRSAypdgOEH5RY-e,17g2ZZf1-VYo1fhknQRSAypdgOEH5RY-e,image/png,,no,no,412327,2022-01-06T13:21:37.000Z,https://drive.google.com/file/d/17g2ZZf1-VYo1fhknQRSAypdgOEH5RY-e/view?usp=drivesdk
5.+Satria+Adhitama.pdf,5.+Satria+Adhitama.pdf,1-d80yzPqljwGDbtSZ0bB0sSed_8BQUTF,1-d80yzPqljwGDbtSZ0bB0sSed_8BQUTF,application/pdf,,no,yes,634457,2025-10-18T12:32:58.000Z,https://drive.google.com/file/d/1-d80yzPqljwGDbtSZ0bB0sSed_8BQUTF/view?usp=drivesdk
05+Kalpataru+2023+Ipak+hal+149-162.pdf,05+Kalpataru+2023+Ipak+hal+149-162.pdf,12EzV5PkBYHloCzAkoB-Tkb1tGe06CA48,12EzV5PkBYHloCzAkoB-Tkb1tGe06CA48,application/pdf,,no,yes,1196855,2024-11-01T14:34:57.000Z,https://drive.google.com/file/d/12EzV5PkBYHloCzAkoB-Tkb1tGe06CA48/view?usp=drivesdk
7. Jurnal Papua Vol 4 No 2 Nov 2012.pdf,7. Jurnal Papua Vol 4 No 2 Nov 2012.pdf,1r7OHgXBqRfEWrvmtyOZmH_tJH5sLRE9F,1r7OHgXBqRfEWrvmtyOZmH_tJH5sLRE9F,application/pdf,,no,yes,8080392,2024-07-19T07:17:00.000Z,https://drive.google.com/file/d/1r7OHgXBqRfEWrvmtyOZmH_tJH5sLRE9F/view?usp=drivesdk
8bd5ee1e-79fc-4625-9850-2eade2025ee4.jpg,8bd5ee1e-79fc-4625-9850-2eade2025ee4.jpg,1mzZuf-7m-Hf7iM3lVcoQv5iRR2o7_aN5,1mzZuf-7m-Hf7iM3lVcoQv5iRR2o7_aN5,image/jpeg,,no,no,96532,2022-12-23T02:25:17.000Z,https://drive.google.com/file/d/1mzZuf-7m-Hf7iM3lVcoQv5iRR2o7_aN5/view?usp=drivesdk
70-140-1-SM.pdf,70-140-1-SM.pdf,1v6apLFDitqoz9q65UjBYfmolblnt58YS,1v6apLFDitqoz9q65UjBYfmolblnt58YS,application/pdf,,no,yes,3101630,2024-09-20T13:52:32.000Z,https://drive.google.com/file/d/1v6apLFDitqoz9q65UjBYfmolblnt58YS/view?usp=drivesdk
149-164.pdf,149-164.pdf,1njChAbLdR8XnCawMz5-HMJclsoSDrChC,1njChAbLdR8XnCawMz5-HMJclsoSDrChC,application/pdf,,no,yes,589545,2025-04-20T04:08:22.000Z,https://drive.google.com/file/d/1njChAbLdR8XnCawMz5-HMJclsoSDrChC/view?usp=drivesdk
0217NGIEXPaleorivers.pdf,0217NGIEXPaleorivers.pdf,1aMaw1b6-hXCyFlYNhsviJh9hJ5bM9hNz,1aMaw1b6-hXCyFlYNhsviJh9hJ5bM9hNz,application/pdf,,no,yes,806021,2025-04-30T06:41:11.000Z,https://drive.google.com/file/d/1aMaw1b6-hXCyFlYNhsviJh9hJ5bM9hNz/view?usp=drivesdk
252-Article Text-804-1-10-20091222.pdf,252-Article Text-804-1-10-20091222.pdf,1Lq9fItt0XIJgDmdIv7kMqg4FugUYd7Qq,1Lq9fItt0XIJgDmdIv7kMqg4FugUYd7Qq,application/pdf,,no,yes,57683,2024-09-15T15:48:13.000Z,https://drive.google.com/file/d/1Lq9fItt0XIJgDmdIv7kMqg4FugUYd7Qq/view?usp=drivesdk
260-596-1-SM.pdf,260-596-1-SM.pdf,1fFo3THNJsbiKdHez-Vv-hIAUD3ggnIna,1fFo3THNJsbiKdHez-Vv-hIAUD3ggnIna,application/pdf,,no,yes,2217044,2024-04-22T15:33:12.000Z,https://drive.google.com/file/d/1fFo3THNJsbiKdHez-Vv-hIAUD3ggnIna/view?usp=drivesdk
