site_name,doi,source_url
Gua Lakan Taghu,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Lampetia,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Lampetia AD,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Lampetia Certainly,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Lawa,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Mardua,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Mentanduno,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Metanduno,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Metanduno Gua Metanduno,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Pasaung,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Pawon,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Peraling,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Pominsa,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Pominsa In,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Pondoa,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Prasejarah,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Sambagowala,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Sambangoala,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Sambangoala Gua Sambangoala,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Sireh,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Sireh CAMS-725 ANU,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Sugi Patani,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Sumpangbita,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Talimbue,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Tengkorak,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Toko Gua Wa Bose Lasobo Gua,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Uhallie,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Wa Bose,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Arandangana,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Balangingi,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Balisao,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Barugayya Maros,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Batu T,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Batu Tunpa,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Buida,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Buida Leang Buida,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Buida One,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Buidane,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Bulu Bettue,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Burung,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Cakondo,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Codong,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Jarie Maros,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Jing,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Karassak,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Karassaq,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Leang,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Mande,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Paja,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Paja TaengSomba Opu Figure,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Sampeang Maros,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Sarru,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Sarru Rockshelter,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Timpalo,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Timpuseng,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Timpuseng Maros,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Tuwo Mane,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Ululeba,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Leang Warra,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Lene Hara Cave,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Liang Abu,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Liang Arandangana,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
