site_name,doi,source_url
Gua Siti Nafisah F5,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Gua Siti Nafisah Square F5 Layer A1,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Gua Siti Natisaf,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Gua Woye Papaya,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Leang Buidane,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Leang Codong,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Leang Sarru,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Leang Sarru Rockshelter,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Leang Tuwo Mane,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Liang Bua,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Liang Lemdubu,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Liang Lemdubu N,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Liang Momer E,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Liang Momer E N,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Liang Toge,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Liang Toge N,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Goa Lestar,https://doi.org/10.1080/13505033.2016.1182775,https://doi.org/10.1080/13505033.2016.1182775
Goa Paniki,https://doi.org/10.1080/13505033.2016.1182775,https://doi.org/10.1080/13505033.2016.1182775
Goa Paniki Cuscus Cave,https://doi.org/10.1080/13505033.2016.1182775,https://doi.org/10.1080/13505033.2016.1182775
Goa Raja Ampat,https://doi.org/10.1080/13505033.2016.1182775,https://doi.org/10.1080/13505033.2016.1182775
Goa Sriti,https://doi.org/10.1080/13505033.2016.1182775,https://doi.org/10.1080/13505033.2016.1182775
Goa Tafare,https://doi.org/10.1080/13505033.2016.1182775,https://doi.org/10.1080/13505033.2016.1182775
Goa Warikaf,https://doi.org/10.1080/13505033.2016.1182775,https://doi.org/10.1080/13505033.2016.1182775
Situs Kali Raja Site,https://doi.org/10.1080/13505033.2016.1182775,https://doi.org/10.1080/13505033.2016.1182775
Liang Lembudu,https://doi.org/10.1080/13639,https://doi.org/10.1080/13639
Liang Lemdubu,https://doi.org/10.1080/13639,https://doi.org/10.1080/13639
Liang Nabulei Lisa,https://doi.org/10.1080/13639,https://doi.org/10.1080/13639
