SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_015;Gua Toyapakeh;Nusa Penida | Bali;;4326;115.470223;-8.696944;;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang;;;;No;https://doi.org/10.1016/j.anthro.2023.103160;Song Toyapakeh is a submerged cave located on Nusa Penida Island, Bali, at a depth of 16 m below sea level. The cave is believed to have been inhabited by human during the late Pleistocene period, as evidenced by the large numbers of bones from Cervidae and Elephantoid families, as well as turtles, that are scattered throughout the cave. The presence of these bones raises questions about the past use of Song Toyapakeh by humans and the transformation of the island's landscape into a submerged cave.
IPAD_016;Gua Gede;Nusa Penida | Bali;;4326;8.956944;-8.755833;;No;Documented;Not specified;-10147;-9562;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;Hidayah, A.R., Gede, D.K., Haribuana, P.Y., Bawono, R.A., Jatmiko, Sutikna, T.S., Suarbhawa, I.G., & Arisanti, N. (2021). Song Gede: Situs Gua Hunian Sejak Masa Pleistosen Akhir di Pulau Nusa Penida, Bali. PURBAWIDYA: Jurnal Penelitian dan Pengembangan Arkeologi.;An interesting finding from the follow-up analysis of artifacts from the 2020 excavations was the identification of ecofacts from the Pleistocene layer, including large mammal fauna. Large mammal fauna were found abundantly in excavations at the Song Gede Site, dating from the Late Pleistocene to the Holocene. However, the current vegetation and fauna (especially large mammals) on Nusa Penida Island are very different from those of the past.
IPAD_017;Leang Balisao;Lamoncong | Bone | South Sulawesi;;4326;119.995040;-4.988965;;No;Excavated;Not specified;-4000;-350;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;Bulbeck, D., Pasqua, M., & Di Lello, A. (2000). Culture history of the Toalean of South Sulawesi, Indonesia. Asian Perspectives, 39(1-2), 71-108. / van Heekeren, Stone Age of Indonesia.;The well-known Swiss naturalists Fritz and Paul Sarasin were the first to discover a blade industry of a semi-microlithic and microlithic character in Indonesia during their second expedition to Celebes which lasted from March 1902 to April 1903. Twice they visited the rather isolated limestone mountain-range near Lamoncong, east of Chamba in the southern region of what was then the principality of Bone. After much trouble and privation they finally came into contact with the so-called Toale who still lived in the forests and partly dwelt in caves. The Sarasins excavated four caves near Lamoncong
IPAD_018;Leang Panameanreanga;Bali;;4326;119.633;-4.700111;;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;Van Heekeren, Stone Age of Indonesia;In th is eave, the Toalean did not show up until 1.05 m. below ground-level, under a bank of marine shells.
IPAD_287;Pedawa 1;Bali | Pedawa, Buleleng regency, Bali;;4326;115.01016;-8.2413;;No;Documented;Not specified;-4000;1500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: This sarcophagus is only part of the container. The body had a transverse rupture on the short side of the sarcophagus. The sides were also broken. The entire body of the sarcophagus was covered in moss and the inside had soil deposits. Sarkofagus ini hanya berupa bagian wadah saja. Padabadannya mengalami pecah melintang di sisi pendeksarkofagus. Bagian sisi-sisinya juga mengalami pecah.Seluruh fisik sarkofagus ditumbuhi lumut dan bagiandalamnya terdapat deposit tanah akibat. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa
IPAD_288;Pedawa 2;Bali | Pedawa, Buleleng regency, Bali;;4326;115.01928;-8.24195;;No;Documented;Not specified;-4000;1500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Sarkofagus ini hanya berupa bagian wadah saja. Bagian sisi-sisinya juga mengalami pecah. Seluruh fisik sarkofagus ditumbuhi lumut dan bagian dalamnya terdapat deposit tanah akibat | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa
IPAD_289;Pedawa 3;Bali | Pedawa, Buleleng regency, Bali;;4326;115.04989;-8.23575;;No;Documented;Not specified;-4000;1500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Indikasi Sarkofagus ini hanya berupa bagian wadah saja. Sarkofagus sudah direkonstruksi kembali oleh pemilik. Saat ini diletakkan diatas platform yang terbuat dari semen. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa
IPAD_290;Pedawa 4;Bali | Pedawa, Buleleng regency, Bali;;4326;115.04989;-8.23575;;No;Documented;Not specified;-4000;1500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Sarkofagus ini hanya berupa bagian wadah saja. Indikasi Sarkofagus berada dalam kondisi cukup utuh, namun terdapat pecah pada bagian badan akibat akar tumbuhan dan permukaannya ditumbuhi lumut. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa
IPAD_291;Pedawa 5;Bali | Pedawa, Buleleng regency, Bali;;4326;115.04989;-8.23575;;No;Documented;Not specified;-4000;1500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Indikasi Sarkofagus ini dalam kondisi pecah belah. Besar pecahan beragam antara 15 cm hingga 50 cm. Masih terlihat indikasi bentuk berupa bagian tonjolan dan dasar sarkofagus. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa
IPAD_292;Pedawa 6;Bali | Pedawa, Buleleng regency, Bali;;4326;115.02381;-8.23139;;No;Documented;Not specified;-4000;1500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Sarkofagus ini dalam kondisi pecah belah. Besar pecahan beragam antara 26 cm hingga 35 cm. Masih terlihat indikasi bentuk berupa bagian tonjolan dan dasar sarkofagus. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa
