SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_533;Minanga Sipakko Site;West Sulawesi | Kalumpang, Mamuju Regency, West Sulawesi | Mamuju;;4326;119.460889;-2.460278;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://www.researchgate.net/publication/329142105_The_Austronesian_migration_hypothesis_as_seen_from_prehistoric_settlements_on_the_Karama_River_Mamuju_West_Sulawesi;
IPAD_536;Sikendeng Site;West Sulawesi | P524+C66 Pangale, Central Mamuju Regency, West Sulawesi | Mamuju;;4326;119.155528;-2.298972;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://www.researchgate.net/publication/329142105_The_Austronesian_migration_hypothesis_as_seen_from_prehistoric_settlements_on_the_Karama_River_Mamuju_West_Sulawesi;
IPAD_816;Dambu;Mamasa | West Sulawesi;;4326;119.310472;-2.995778;;No;Documented;Not specified;;;Archaeological Sites;Open-air site;;;;No;Almandary, J. Peradaban di Daerah Mamasa: Kajian Budaya Austronesia di Situs Dambu dan Matti (The Beginning Civilization in the Mamasa Area: the Austronesian Culture Study in Sites of Dambu and Matti).;Description: According to the oral tradition of the Mamasa community, particularly those settled in the Balla area, the Dambu site was the earliest settlement of their ancestors before they moved to the Matti and Paku areas. Much of the site surface is still covered with grass, making it very difficult to find artefacts on the surface. Archaeological finds were limited to areas of ground already cultivated for growing vegetables or tubers. A survey recovered stone flake artefacts bearing clear traces of use, evidenced by technological characteristics including a bulbus on the ventral face, a striking platform on the proximal end, and a dorsal flaking surface worked obliquely to both sides forming two thin cutting edges. The cutting edges show retouch and fine edge damage from intensive use.
IPAD_817;Matti;Mamasa | West Sulawesi;;4326;119.300750;-2.974778;;No;Documented;Not specified;;;Archaeological Sites;Open-air site;;;;No;Almandary, J. Peradaban di Daerah Mamasa: Kajian Budaya Austronesia di Situs Dambu dan Matti (The Beginning Civilization in the Mamasa Area: the Austronesian Culture Study in Sites of Dambu and Matti).;Description: One of the significant find types at the Dambu-Matti sites is stone flake artefacts. Technologically they demonstrate flaking techniques including a striking platform, bulbus, and cutting edges. Two flake artefacts were recovered from excavation and one from surface survey. Flake I measures 3.8 cm in length, 2.3 cm in width at the midpoint, and 0.9 cm in thickness.
IPAD_153;Gua Pondoa;Southeast Sulawesi;;;;;;No;Documented;Not specified;-11700;1950;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.22459/TA48.11.2018.07 | https://doi.org/10.2752/175169713X13500468476600;Description: 7. Black drawings at the cave site of Gua Pondoa, Southeast Sulawesi 87 terra australis 48 a short distance to the north of Maros. Similarities with Gua Pondoa include motifs of boats, one with six passengers linked arm to arm, other human figures in dynamic pose and/ 7. Black drawings at the cave site of Gua Pondoa, Southeast Sulawesi 91 terra australis 48 Bulbeck, D. 2010. Uneven development in Southwest Sulawesi, Indonesia during the Early Metal Phase. In B. Bellina, E.A. Bacus, T .O. Pryce and J.W . Christie (eds), 50 Years of | Keywords: Cave
IPAD_218;Leang Codong;South Sulawesi;;;;;;No;Documented;Not specified;-11700;1950;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.3406/arch.1976.1271 | https://doi.org/10.1016/j.jasrep.2023.103871 | https://doi.org/10.1016/j.jasrep.2023.103871;Description: i 2000). Southwest Sulawesi, lying to the northwest of Nusatenggara, had highly variable mortuary practices during the Palaeometallic. These include the burial of numerous teeth with barely any associated pottery at the Leang Codong rockshelter and the direct interment of burnt and unburnt human fragments in the Leang-Leang caves of Maros (Bulbeck 1996â 1997). Leang-Leang also has two jar-burial sites, Ulu Leang 2 and Leang Paja, that are similar t thwest Sulawesi prehistoric sites, where Sabbang Loang and Galesong would appear to have been trading centres that proclaimed their independence through their jar-burial fields, whereas the communal ossuaries (including Leang Codong, which lacks mortuary jars) appear to have symbolised a collective claim to prime agricultural land (Bulbeck 2010). | Keywords: Burial site
IPAD_366;Sakkarra;Mamuju | West Sulawesi;;4326;119.327806;-2.528334;;No;Documented;Not specified;-172;-55;Archaeological Sites;Settlement / Habitation / Permukiman / Kampung;;;;No;https://doi.org/10.24832/kapata.v14i2.515;Description: There were thousands of pottery sherds found in this layers which have related context with metal artifacts, metal slag, glass beads, glass bracelet fragments, barkcloth beater stones, and symmetrical polished stone cog artifacts. Date and archaeological pieces of evidence indicate the early prehistoric phase and the latest age site in Karama Drainage at this time. The cultural layer in Sakkara Site indicates the existence of Austronesian speakers' occupation that continues from the Neolithic phase to the initial metal phase in Karama Drainage. Even they are actively involved in the shipping and trade that had intertwined among the islands in Southeast Asia at that time.
