SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS;WEB_IMAGES
0fec69c2-d149-4fbe-a83e-fc66a4f62872;Manuaba;Bali | H72P+6R5, Jl. Raya Desa Kenderan, Kenderan, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561;;;;;;Yes;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;http://dx.doi.org/10.13140/RG.2.2.20761.60004;Description: There are remains of 2 sarcophagi located in the Uma Lawas subak which is the oldest subak in the village of Manuaba. This site is thought to have originated from the Great Stone Age (Megalithichum). Its existence is still shrouded in mystery due to a lack of supporting data. Because of its location in the middle of rice fields, the Nyungsung (Purified) Farmer Community at Batulusu Temple, Subak Uma Lawas Kaja. Tipe C merupakan sarkofagus berukuran besar, dengan panjang antara200-268 cm. Ciri lainnya berupa ada dua tonjolan di bidang samping/panjang wadah. Sarkofagus tipe ini berukuran besar, sehingga mayat dapat dikuburkandengan terbujur dan kemungkinan diisi lebih dari satu mayat. Tipe ini disebutjuga sebagai tipe Manuaba, karena sebagian besar ditemukan di daerah Manuaba (Kabupaten Gianyar) | Keywords: sarcophagus bali | Alternative_Name: Pura Batulusu;
b5897a2b-3e8f-4f1b-b401-20863fa88418;Sampiang;Bali | F87J+4MW, Jl. Kalantaka, Sampiang, Kec. Gianyar, Kabupaten Gianyar, Bali 80511;;4326;115.331691320297;-8.53710122349279;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;DOI: http://dx.doi.org/10.24832/fa.v12i2.401;Description: 3 stone sarcophagi identified. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: Geriya Hyangapi;
3aa08528-1e41-4998-b35a-ab7ef7e4a716;Cekeng;Bali | H9H4+92Q Sulahan, Bangli Regency, Bali;;4326;115.355111;-8.421528;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;https://karya.brin.go.id/id/eprint/16249;Description: In the Pura Puseh there is one sarcophagus with a figure sculpted. Locals call the sarcophagus ' Pelican Boat' presumably as reference to population migration. Another sarcophagus on private property of Wayan Lamud | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: Pura Puseh Cekeng;
2093f989-697b-4868-bccd-88c3d9b96f31;Padangsigi;Bali | Jl. Pejeng Kaja - Tampak Siring No.32, Sanding, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552;;;;;;Yes;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;https://doi.org/10.24832/nw.v14i2.426;Description: Sarkofagus yang disimpan di rumah penduduk, salah satunya adalah sarkofagus Padangsigi, terletak di Banjar Padangsigi, Desa Sanding, Kecamatan Tampak Siring, Kabupaten Gianyar. Sarkofagus ini ditempatkan bersama bangunan suci lainnya pada balai perlindungan | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: Sanding;
98674d10-91bf-4024-a794-6df14340978c;Sukoyu;South Sulawesi | Nuha East Luwu Regency South Sulawesi Indonesia;;4326;121.298861;-2.429444;;No;Not documented;Not specified;-2500;500;Production;;;;;No;Caldwell, I. (2000). Land of Iron: The Historical Archeology of Luwu and the Cenrana Valley. Centre for Southeast Asian Studies, The University of Hull.;Description: Sukoyu, square 1, unit 8, OXIS Excavation, Bullbeck, The Origin of Complex Society in South Sulawesi (OXIS) Project | Keywords: charcoal matano sukoyu EMT | Sub-cultural Period: Palaeometallic | Alternative_Name: Lake Matano;
453123d7-324c-4a3d-8a3b-9945ff99c60a;Pontanoa Bangka;South Sulawesi | Nuha, East Luwu Regency, South Sulawesi, Indonesia;;4326;121.306472;-2.433528;;No;Not documented;Not specified;-2500;500;Production;;;;;No;Caldwell, I. (2000). Land of Iron: The Historical Archeology of Luwu and the Cenrana Valley. Centre for Southeast Asian Studies, The University of Hull.;Description: 13th century+ burials, early iron smelting site | Keywords: charcoal sulawesi EMP | Sub-cultural Period: Palaeometallic;
8cf35f0c-f327-40dc-8385-bbb1b99d5ed8;Katue;South Sulawesi | Manurung, Malili, East Luwu Regency, South Sulawesi, Indonesia;;4326;121.033472;-2.590306;;No;Not documented;Not specified;-2500;500;Realestate;Unknown;;;;No;Caldwell, I. (2000). Land of Iron: The Historical Archeology of Luwu and the Cenrana Valley. Centre for Southeast Asian Studies, The University of Hull.;Description: Katue, square 5, unit 11 | Keywords: charcoal sulawesi EMP | Sub-cultural Period: Palaeometallic;
9ee7869d-3cba-458b-8dc2-5240c5c345ee;Rahampu’u 1 (RHP1);South Sulawesi | Lake Matano, Nuha, East Luwu Regency, South Sulawesi, Indonesia;;4326;121.216667;-2.455667;;No;Not documented;Not specified;-2500;500;Production;;;;;No;Caldwell, I. (2000). Land of Iron: The Historical Archeology of Luwu and the Cenrana Valley. Centre for Southeast Asian Studies, The University of Hull.;Description: 600 BP + habitation. Rahampu’u 1 (Mo. ‘initial settlement’) 70 metres west of the lake. The major surface feature at Rahampu’u 1 is an elongated mound, approximately 50 cm high (presumably higher originally), traversing the site from northeast to southwest. Local people cannot recall when the mound was made. Peter Bellwood suggested it may be piled-up rakeout from old ironworking hearths in the area of the S6T5 square (where the very high density of finds should relate to in situ smelting debris). In accord with Bellwood’s suggestion, the S6B10 test pit in the mound produced the same materials as excavated in the other test pits, but at highly variable concentrations deposited in diffuse lenses. | Keywords: matano EMP sulawesi | Sub-cultural Period: Palaeometallic | Alternative_Name: Lake Matano;
34a81252-a293-4cd6-a215-a514fd086b72;Nuha;South Sulawesi | Nuha, East Luwu Regency, South Sulawesi, Indonesia;;4326;121.339639;-2.446167;;No;Not documented;Not specified;-2500;500;Realestate;Settlement;;;;No;Caldwell, I. (2000). Land of Iron: The Historical Archeology of Luwu and the Cenrana Valley. Centre for Southeast Asian Studies, The University of Hull.;Description: 12th century plus smelting. The Nuha test pit cut through approximately 92 centimetres of the kind of iron-smelting deposit that the OXIS archaeologists had previously encountered at Kampung Matano. Finds included 25.6 kilograms of iron debris (iron ore, slag, etc.), 500 grams of charcoal, 3.2 kg of lumps of baked earth identified as tuyère fragments, a possible iron tuyère-tip, two other iron fragments, 59 earthenware sherds with accreted iron bloom, and 24 flaked chert artifacts. The flaked chert would probably have been associated with a local strike-a-light industry, as recorded ethnographically among the Toraja (Van Heekeren 1950), and, according to our informant, Abdullah Andi Mattoana, still practised near Matano. A charcoal sample from the lowest excavated unit containing charcoal and abundant smelting debris was submitted for dating, and calibrates to between the eleventh and the thirteenth centuries (Table 2-3). A second charcoal sample from the top of the smelting deposit dates to the seventeenth century or later. These dates thus indicate that ore was smelted at the site throughout much of the second millennium AD, confirming the prediction by OXIS of iron smelting by at least the fourteenth century. | Keywords: matano EMP sulawesi | Sub-cultural Period: Palaeometallic | Alternative_Name: Lake Matano;
413089d4-d725-4062-bcc2-a809ccb3fe8e;Bola Merajae;South Sulawesi | Ussu, Malili, East Luwu Regency, South Sulawesi, Indonesia;;4326;121.090639;-2.5945;;No;Not documented;Not specified;-2500;500;Realestate;Settlement;;;;No;Caldwell, I. (2000). Land of Iron: The Historical Archeology of Luwu and the Cenrana Valley. Centre for Southeast Asian Studies, The University of Hull.;Description: Bola Merajae produced an essentially continuous occupation sequence spanning the last two millennia, with a peak between approximately the thirteenth and fifteenth centuries. Two test pits were excavated on opposite banks of the Malaula stream where it leaves the sacred forest reserve. The test pits were probably sited in a rubbish disposal sector of the Bola Merajae site, which would explain the earthen sherds and abundance of charcoal, combined with a total lack of keramik in a sequence which overlaps the period when high-fired ceramics were imported to Luwu. | Keywords: EMP Luwu Sulawesi | Sub-cultural Period: Palaeometallic | Alternative_Name: B. ‘great house’ or ‘noble house’;
