filename,pdf_path,pages,text_chars,ocr_confidence,date_processed
88724-2,data/google-drive-pdfs/88724-2.pdf,22,54851,0.00,2026-03-25T20:17:49.527251
88744-3,data/google-drive-pdfs/88744-3.pdf,30,91789,0.00,2026-03-25T20:17:49.527887
89412-2,data/google-drive-pdfs/89412-2.pdf,25,69515,0.00,2026-03-25T20:17:49.528220
9789004652644-B9789004652644_s043,data/google-drive-pdfs/9789004652644-B9789004652644_s043.pdf,10,23515,0.00,2026-03-25T20:17:49.528901
"A Companion to Rock Art (Jo McDonald, Peter Veth) (z-lib.org)","data/google-drive-pdfs/A Companion to Rock Art (Jo McDonald, Peter Veth) (z-lib.org).pdf",715,2041585,0.00,2026-03-25T20:17:49.535262
"A History of Early Southeast Asia Maritime Trade and Societal Development, 100-1500 (Kenneth R. Hall) (Z-Library)","data/google-drive-pdfs/A History of Early Southeast Asia Maritime Trade and Societal Development, 100-1500 (Kenneth R. Hall) (Z-Library).pdf",399,1097244,0.00,2026-03-25T20:17:49.538069
A19 India.cupmarks pdf,data/google-drive-pdfs/A19 India.cupmarks pdf.pdf,11,13614,0.00,2026-03-25T20:17:49.538260
Aboru_Maluku_Prehistoric,data/google-drive-pdfs/Aboru_Maluku_Prehistoric.pdf,4,12570,0.00,2026-03-25T20:17:49.538443
Abstract for UISPP,data/google-drive-pdfs/Abstract for UISPP.pdf,2,2417,0.00,2026-03-25T20:17:49.538590
AcehCaves,data/google-drive-pdfs/AcehCaves.pdf,22,43022,0.00,2026-03-25T20:17:49.538885
Additional_Evidence_for_Morpho-Dimensional_Tooth_C,data/google-drive-pdfs/Additional_Evidence_for_Morpho-Dimensional_Tooth_C.pdf,16,80417,0.00,2026-03-25T20:17:49.539430
AgeEarliestHomininsIndonesia,data/google-drive-pdfs/AgeEarliestHomininsIndonesia.pdf,5,41498,0.00,2026-03-25T20:17:49.539685
Alor Island_PleistoceneCranial,data/google-drive-pdfs/Alor Island_PleistoceneCranial.pdf,16,85509,0.00,2026-03-25T20:17:49.540325
Alor_Pleistocene_HumanSkull,data/google-drive-pdfs/Alor_Pleistocene_HumanSkull.pdf,16,97882,0.00,2026-03-25T20:17:49.540733
AmazonBay_Mailu_Papua,data/google-drive-pdfs/AmazonBay_Mailu_Papua.pdf,495,736700,0.00,2026-03-25T20:17:49.543084
An Archaeology of Waigeo (English),data/google-drive-pdfs/An Archaeology of Waigeo (English).pdf,70,49798,0.00,2026-03-25T20:17:49.543390
"Ancestral_DNA,_Human_Origins,_and_Migrations_----_(13_-_The_Agricultural_Revolutions)","data/google-drive-pdfs/Ancestral_DNA,_Human_Origins,_and_Migrations_----_(13_-_The_Agricultural_Revolutions).pdf",1,4219,0.00,2026-03-25T20:17:49.543573
"Ancestral_DNA,_Human_Origins,_and_Migrations_----_(6_-_Neanderthals,_Denisovans,_and_Hobbits)","data/google-drive-pdfs/Ancestral_DNA,_Human_Origins,_and_Migrations_----_(6_-_Neanderthals,_Denisovans,_and_Hobbits).pdf",32,113798,0.00,2026-03-25T20:17:49.543989
"Ancestral_DNA,_Human_Origins,_and_Migrations_----_(7_-_Dispersals_Into_India)","data/google-drive-pdfs/Ancestral_DNA,_Human_Origins,_and_Migrations_----_(7_-_Dispersals_Into_India).pdf",50,162334,0.00,2026-03-25T20:17:49.544604
"Ancestral_DNA,_Human_Origins,_and_Migrations_----_(8_-_The_Occupation_of_Southeast_Asia,_Indonesia,_and_Australia)","data/google-drive-pdfs/Ancestral_DNA,_Human_Origins,_and_Migrations_----_(8_-_The_Occupation_of_Southeast_Asia,_Indonesia,_and_Australia).pdf",1,3882,0.00,2026-03-25T20:17:49.544899
"Ancestral_DNA,_Human_Origins,_and_Migrations_----_(9_-_The_Austronesian_Expansion)","data/google-drive-pdfs/Ancestral_DNA,_Human_Origins,_and_Migrations_----_(9_-_The_Austronesian_Expansion).pdf",28,85738,0.00,2026-03-25T20:17:49.545275
Ancient Religions of the Austronesian World From Australasia to Taiwan (Julian Baldick) (Z-Library),data/google-drive-pdfs/Ancient Religions of the Austronesian World From Australasia to Taiwan (Julian Baldick) (Z-Library).pdf,252,558552,0.00,2026-03-25T20:17:49.546910
Ancient_Boats_Boat_Timbers_and_Locked_Mortise-and-,data/google-drive-pdfs/Ancient_Boats_Boat_Timbers_and_Locked_Mortise-and-.pdf,20,59390,0.00,2026-03-25T20:17:49.547709
AndamanMiddens,data/google-drive-pdfs/AndamanMiddens.pdf,13,33208,0.00,2026-03-25T20:17:49.547940
AndarewaCave_Papua,data/google-drive-pdfs/AndarewaCave_Papua.pdf,12,28465,0.00,2026-03-25T20:17:49.548152
Animal motifs on rock art in Papua and West Papua,data/google-drive-pdfs/Animal motifs on rock art in Papua and West Papua.pdf,44,98751,0.00,2026-03-25T20:17:49.548662
"Anthropocene_A_New_Introduction_to_World_Prehistor..._----_(4._Peopling_the_World_Human_Dispersals_to_Australia,_the_Americas,_and...)","data/google-drive-pdfs/Anthropocene_A_New_Introduction_to_World_Prehistor..._----_(4._Peopling_the_World_Human_Dispersals_to_Australia,_the_Americas,_and...).pdf",7,17150,0.00,2026-03-25T20:17:49.548863
Archaeology in Oceania - 2022 - Perston - Stone‐flaking technology at Leang Bulu Bettue  South Sulawesi  Indonesia,data/google-drive-pdfs/Archaeology in Oceania - 2022 - Perston - Stone‐flaking technology at Leang Bulu Bettue  South Sulawesi  Indonesia.pdf,24,111328,0.00,2026-03-25T20:17:49.549259
Archaeometry - 2018 - Pryce - Copper%E2%80%90base Metallurgy in Metal%E2%80%90Age Bali  Evidence from Gilimanuk  Manikliyu  Pacung ,data/google-drive-pdfs/Archaeometry - 2018 - Pryce - Copper%E2%80%90base Metallurgy in Metal%E2%80%90Age Bali  Evidence from Gilimanuk  Manikliyu  Pacung .pdf,19,58931,0.00,2026-03-25T20:17:49.549581
Arkeologi Natuna  Singkapan identitas budaya di gugus kepulauan terdepan Indonesia,data/google-drive-pdfs/Arkeologi Natuna  Singkapan identitas budaya di gugus kepulauan terdepan Indonesia.pdf,40,39401,0.00,2026-03-25T20:17:49.549878
Artikel-BOATS-OF-INDONESIA,data/google-drive-pdfs/Artikel-BOATS-OF-INDONESIA.pdf,9,22028,0.00,2026-03-25T20:17:49.550117
"Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org)","data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",227,918136,0.00,2026-03-25T20:17:49.552963
Atambua_WestTimor_Paleoenvironment,data/google-drive-pdfs/Atambua_WestTimor_Paleoenvironment.pdf,8,40656,0.00,2026-03-25T20:17:49.553472
Atlas Pelabuhan-Pelabuhan Bersejarah di Indonesia by Didik Pradjoko  Bambang Budi Utomo (z-lib.org),data/google-drive-pdfs/Atlas Pelabuhan-Pelabuhan Bersejarah di Indonesia by Didik Pradjoko  Bambang Budi Utomo (z-lib.org).pdf,366,581956,0.00,2026-03-25T20:17:49.555150
AustronesiaExpansion,data/google-drive-pdfs/AustronesiaExpansion.pdf,11,71249,0.00,2026-03-25T20:17:49.555652
Austronesia_Karama_Mamuju_Sulawesi,data/google-drive-pdfs/Austronesia_Karama_Mamuju_Sulawesi.pdf,411,0,0.00,2026-03-25T20:17:49.555807
Austronesian Expansion_geneticstudies,data/google-drive-pdfs/Austronesian Expansion_geneticstudies.pdf,11,71249,0.00,2026-03-25T20:17:49.556142
Austronesian Root Theory An Essay on the Limits of Morphology (Robert A. Blust) (Z-Library),data/google-drive-pdfs/Austronesian Root Theory An Essay on the Limits of Morphology (Robert A. Blust) (Z-Library).pdf,202,378541,0.00,2026-03-25T20:17:49.557426
"Austronesian Traces at Gede Cave, Nusa Penida Island, Bali","data/google-drive-pdfs/Austronesian Traces at Gede Cave, Nusa Penida Island, Bali.pdf",10,29706,0.00,2026-03-25T20:17:49.557720
AustronesianLang,data/google-drive-pdfs/AustronesianLang.pdf,22,0,0.00,2026-03-25T20:17:49.557866
Austronesian_influence_and_Transeurasian_ancestry_,data/google-drive-pdfs/Austronesian_influence_and_Transeurasian_ancestry_.pdf,43,103836,0.00,2026-03-25T20:17:49.558380
Austronesians,data/google-drive-pdfs/Austronesians.pdf,17,182833,0.00,2026-03-25T20:17:49.558897
BUGIS VT 132 A_002,data/google-drive-pdfs/BUGIS VT 132 A_002.pdf,133,9949,0.00,2026-03-25T20:17:49.559194
"Bahasa Gayo by Baihaqi A.K., Abdul Gani Asyik, Surya Nola Latif, Sulaiman Sanusi (z-lib.org)","data/google-drive-pdfs/Bahasa Gayo by Baihaqi A.K., Abdul Gani Asyik, Surya Nola Latif, Sulaiman Sanusi (z-lib.org).pdf",105,123091,0.00,2026-03-25T20:17:49.559708
