SITE_SOURCE_ID;SITE_NAME;PDF_FILE;PAGE;IMAGE_NAME;IMAGE_IDENTIFIER;IMAGE_URL;WIDTH;HEIGHT;FORMAT;SCORE;REASONS;MANIFEST_URL
drive-0a7edcad2f1b;Ceruk Lakan Taghu;archaeologysulawesi.pdf;91;p091-01-ceruk-lakan-taghu.jpg;drive-0a7edcad2f1b/p091-01-ceruk-lakan-taghu.jpg;/assets/drive-site-images/drive-0a7edcad2f1b/p091-01-ceruk-lakan-taghu.jpg;392;838;JPEG;43;site-name-on-page | locality-context | indonesia-context | figure-photo-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-0a7edcad2f1b.json
drive-869658ea4938;Gua Sahak;Borneo_Menyingkap_gua_prasejarah.pdf;139;p139-01-gua-sahak.jpg;drive-869658ea4938/p139-01-gua-sahak.jpg;/assets/drive-site-images/drive-869658ea4938/p139-01-gua-sahak.jpg;807;1660;JPEG;38;site-name-on-page | indonesia-context | site-mention-hits | large-image;/iiif/manifests/sites/drive-869658ea4938.json
drive-869658ea4938;Gua Sahak;BorneoRockArt.pdf;13;p013-02-gua-sahak.jpg;drive-869658ea4938/p013-02-gua-sahak.jpg;/assets/drive-site-images/drive-869658ea4938/p013-02-gua-sahak.jpg;444;524;JPEG;37;site-name-on-page | indonesia-context | figure-photo-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-869658ea4938.json
drive-869658ea4938;Gua Sahak;BorneoRockArt.pdf;13;p013-01-gua-sahak.jpg;drive-869658ea4938/p013-01-gua-sahak.jpg;/assets/drive-site-images/drive-869658ea4938/p013-01-gua-sahak.jpg;443;346;JPEG;37;site-name-on-page | indonesia-context | figure-photo-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-869658ea4938.json
drive-869658ea4938;Gua Sahak;Borneo_Menyingkap_gua_prasejarah.pdf;178;p178-01-gua-sahak.jpg;drive-869658ea4938/p178-01-gua-sahak.jpg;/assets/drive-site-images/drive-869658ea4938/p178-01-gua-sahak.jpg;736;562;JPEG;35;site-name-on-page | indonesia-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-869658ea4938.json
drive-869658ea4938;Gua Sahak;Borneo_Menyingkap_gua_prasejarah.pdf;169;p169-01-gua-sahak.jpg;drive-869658ea4938/p169-01-gua-sahak.jpg;/assets/drive-site-images/drive-869658ea4938/p169-01-gua-sahak.jpg;609;564;JPEG;35;site-name-on-page | indonesia-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-869658ea4938.json
drive-869658ea4938;Gua Sahak;Borneo_Menyingkap_gua_prasejarah.pdf;139;p139-02-gua-sahak.jpg;drive-869658ea4938/p139-02-gua-sahak.jpg;/assets/drive-site-images/drive-869658ea4938/p139-02-gua-sahak.jpg;447;680;JPEG;35;site-name-on-page | indonesia-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-869658ea4938.json
drive-6987cee3585a;Gua Sosoraweru;Fakfak_Papua_Sosoraweru.pdf;3;p003-01-gua-sosoraweru.png;drive-6987cee3585a/p003-01-gua-sosoraweru.png;/assets/drive-site-images/drive-6987cee3585a/p003-01-gua-sosoraweru.png;489;342;JPEG2000;33;site-name-on-page | locality-context | indonesia-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-6987cee3585a.json
drive-6987cee3585a;Gua Sosoraweru;Fakfak_Papua_Sosoraweru.pdf;8;p008-01-gua-sosoraweru.png;drive-6987cee3585a/p008-01-gua-sosoraweru.png;/assets/drive-site-images/drive-6987cee3585a/p008-01-gua-sosoraweru.png;450;350;JPEG2000;33;site-name-on-page | locality-context | indonesia-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-6987cee3585a.json
drive-6987cee3585a;Gua Sosoraweru;Fakfak_Papua_Sosoraweru.pdf;6;p006-02-gua-sosoraweru.png;drive-6987cee3585a/p006-02-gua-sosoraweru.png;/assets/drive-site-images/drive-6987cee3585a/p006-02-gua-sosoraweru.png;359;269;JPEG2000;28;site-name-on-page | locality-context | indonesia-context | site-mention-hits;/iiif/manifests/sites/drive-6987cee3585a.json
drive-6987cee3585a;Gua Sosoraweru;Fakfak_Papua_Sosoraweru.pdf;6;p006-01-gua-sosoraweru.png;drive-6987cee3585a/p006-01-gua-sosoraweru.png;/assets/drive-site-images/drive-6987cee3585a/p006-01-gua-sosoraweru.png;352;264;JPEG2000;28;site-name-on-page | locality-context | indonesia-context | site-mention-hits;/iiif/manifests/sites/drive-6987cee3585a.json
drive-6987cee3585a;Gua Sosoraweru;Fakfak_Papua_Sosoraweru.pdf;6;p006-03-gua-sosoraweru.png;drive-6987cee3585a/p006-03-gua-sosoraweru.png;/assets/drive-site-images/drive-6987cee3585a/p006-03-gua-sosoraweru.png;336;250;JPEG2000;28;site-name-on-page | locality-context | indonesia-context | site-mention-hits;/iiif/manifests/sites/drive-6987cee3585a.json
